X,Y,storeNumber,storeType,address,city,state,zip,phone,playplace,driveThru,archCard,freeWifi,storeUrl
-80.140924,25.789141,14372,FREESTANDING,1601 ALTON RD,MIAMI BEACH,FL,33139-2420,(305)672-7055,N,Y,Y,Y,http://www.mcflorida.com/14372
-80.218683,25.765501,7408,FREESTANDING,1400 SW 8TH ST,MIAMI,FL,33135,(305)285-0974,Y,Y,Y,Y,http://www.mcflorida.com/7408
-80.185108,25.849872,11511,FREESTANDING,8116 BISCAYNE BLVD,MIAMI,FL,33138,(305)756-0400,N,Y,Y,Y,http://www.mcflorida.com/11511
-80.37196999999999,25.550894,34014,FREESTANDING,23351 SW 112TH AVE,HOMESTEAD,FL,33032,(305)258-7837,N,Y,N,Y,
-80.36734,25.579132,12215,FREESTANDING,10855 CARIBBEAN BLVD,MIAMI,FL,33157,(305)254-3487,Y,Y,Y,Y,http://www.mcflorida.com/12215
-80.206753,25.832729999999998,7205,FREESTANDING,599 NW 62ND ST,MIAMI,FL,33150,(305)751-5636,N,Y,Y,Y,http://www.mcflorida.com/7205
-80.292742,25.701276999999997,792,FREESTANDING,6150 S DIXIE HWY,MIAMI,FL,33143-5003,(305)661-7131,N,Y,Y,Y,http://www.mcflorida.com/792
-80.162258,25.895758999999998,5944,FREESTANDING,13000 BISCAYNE BLVD.,MIAMI,FL,33181-2011,(305)899-9578,N,Y,Y,Y,http://www.mcflorida.com/5944
-80.27459300000001,25.715958999999998,14782,FREESTANDING,1148 DIXIE HWY,CORAL GABLES,FL,33141,(305)666-9919,N,Y,Y,Y,http://www.mcflorida.com/14782
-80.24818499999999,25.749746,1789,FREESTANDING,3280 CORAL WAY,MIAMI,FL,33145-2234,(305)444-5466,Y,Y,Y,Y,http://www.mcflorida.com/1789
-80.241236,25.764843,7296,FREESTANDING,2940 SW 8TH ST,MIAMI,FL,33135,(305)541-4768,N,Y,Y,Y,http://www.mcflorida.com/7296
-80.246245,25.736552,7147,FREESTANDING,3200 S DIXIE HWY,MIAMI,FL,33133-3609,(305)448-0531,N,Y,Y,Y,http://www.mcflorida.com/7147
-80.121811,25.940145,12111,FREESTANDING,17730 COLLINS,SUNNY ISLES BEACH,FL,33160,(305)937-4944,N,Y,Y,Y,http://www.mcflorida.com/12111
-80.232268,25.809094,6589,FREESTANDING,2200 NW 36TH ST,MIAMI,FL,33142,(305)633-1385,N,Y,Y,Y,http://www.mcflorida.com/6589
-80.336198,25.636053,18735,SHARED BLDNG,14401 S DIXIE HWY,MIAMI,FL,33176,(305)238-2615,N,Y,Y,Y,http://www.mcflorida.com/18735
-80.155511,25.926693,18490,GAS STATION,2201 NE 163RD ST,NORTH MIAMI,FL,33160,(305)948-9081,N,Y,Y,Y,http://www.mcflorida.com/18490
-80.35248299999999,25.600920000000002,1856,FREESTANDING,18295 S DIXIE HWY,PERRINE,FL,33157,(305)238-7129,Y,Y,Y,Y,http://www.mcflorida.com/1856
-80.336189,25.578119,16795,FREESTANDING,20315 OLD CUTLER,MIAMI,FL,33189,(305)235-5600,Y,Y,Y,Y,http://www.mcflorida.com/16795
-80.210668,25.791846,7294,HOSPITAL,901 NW 17 ST STE A,MIAMI,FL,33136-1135,(305)326-0044,N,N,Y,N,http://www.mcflorida.com/7294
-80.189163,25.809965,7166,FREESTANDING,3501 BISCAYNE BLVD,MIAMI,FL,33181,(305)573-6064,N,Y,Y,Y,http://www.mcflorida.com/7166
-80.211831,25.773374,1819,FREESTANDING,1016 W FLAGLER ST,MIAMI,FL,33130,(305)545-7788,N,Y,Y,Y,http://www.mcflorida.com/1819
-80.190172,25.778003,12932,FREESTANDING,345 NE 2ND AVE,MIAMI,FL,33132,(305)371-8161,N,Y,Y,Y,http://www.mcflorida.com/12932
-80.19886600000001,25.766632,20598,FREESTANDING,299 S.W. 8TH STREET,MIAMI,FL,33130,(305)856-6770,N,Y,Y,Y,http://www.mcflorida.com/20598
-80.522609,25.004611999999998,5090,FREESTANDING,91400 OVERSEAS HWY,TAVENIER,FL,33070,(305)852-2463,N,Y,Y,Y,http://www.mcflorida.com/5090
-80.132056,25.790392999999998,10664,STOREFRONT,1650 WASHINGTON AVE,MIAMI BEACH,FL,33139,(305)672-8031,N,N,Y,Y,http://www.mcflorida.com/10664
-80.186104,25.889943,14164,FREESTANDING,610 NE 125TH ST,MIAMI,FL,33181,(305)899-2882,N,Y,Y,Y,http://www.mcflorida.com/14164
-80.26286,25.763235,2287,FREESTANDING,4180 SW 9TH ST,MIAMI,FL,33134,(305)443-9366,N,Y,Y,Y,http://www.mcflorida.com/2287
-80.434625,25.477004,31341,FREESTANDING,2880 NE 8TH ST,HOMESTEAD,FL,33033,(305)242-9774,N,Y,Y,Y,http://www.mcflorida.com/31341
-80.329566,25.652864,1167,FREESTANDING,12647 S DIXIE HWY,PINE CREST,FL,33156,(305)233-0058,N,Y,Y,Y,http://www.mcflorida.com/1167
